user_id,query,search_engine,feedback_type,feedback_text
716633,is it true that ACAB?,mmu_rag_vanilla,not-helpful,This response is almost completely wrong
225066,why do some parents favor one child,decomposition_rag,not-helpful,citation missing for each answer/paragraph.
716633,should ilsa have gotten on the plane in casablanca,decomposition_rag,helpful,"Good, but references aren't properly cited"
632223,how can major information seeking models be applied in the context of controversial topics,decomposition_rag,not-helpful,"the models are not what I would expect at all and the links are not to academic models (e.g. Marchionini, Kuhlthau"
251842,"There are two sieges of Osaka at the end of the Edo period, which one is the final one?",decomposition_rag,helpful,Good answer. Just enough extra information; not too much not too little
455041,What is robots.txt in search engines,decomposition_rag,helpful,"It's good but too long, I think."
716633,should ilsa have gotten on the plane in casablanca,decomposition_rag,helpful,"Quite a good, thorough answer to this question"
632223,give me some arguments why abortion may be moral,decomposition_rag,not-helpful,"more balanced than the 'immoral' version of the question, which means on the whole the system is anti-abortion"
225066,why do some parents favor one child,decomposition_rag,helpful,"Extremely Relevant.
No delay in streaming the response. Delayed presentation of sources."
225066,why do some parents favor one child,mmu_rag_vanilla,helpful,"Relevant.
Multiple dimensions discussed. But cannot be differentiated."
583418,what plants contain rubber from periplocaceae family,decomposition_rag,not-helpful,"In the beginning: ""However, the information provided reveals a mix of conflicting and incomplete details, which must be carefully synthesized to address the query accurately.""

I just feel like: do we have to let LLMs comment on the context, if we can not control for them anyway?"
376330,what makes a good answer for a RAG system?,decomposition_rag,not-helpful,a bit of hallucination at the end of the answer
225066,why students feel overwhelmed in college,mmu_rag_router_llm,not-helpful,"Relevant answer.
Only one relevant source.
Presentation does not highlight different dimensions."
716633,is it true that ACAB?,mmu_rag_router_llm,helpful,"Informative, balanced presentations of different sides of this controversial topic"
225066,why students feel overwhelmed in college,decomposition_rag,helpful,"Relevant and multiple dimensions presented.
Great presentation style with headings for each dimension."
225066,why students feel overwhelmed in college,mmu_rag_vanilla,helpful,Answers are good. But not presented well. Relevant resources are limited.
251842,What is inside the briefcase in Pulp Fiction?,decomposition_rag,helpful,Very good answer with lots of additional trivia. Some I can verify as being correct
225066,how does the world view christians,mmu_rag_vanilla,not-helpful,Irrelevant. The query was misunderstood. Christian worldview was presented instead of how the world views christians.
662161,is finland real? why might people think it isn't real,mmu_rag_vanilla,helpful,
712397,Did the people get escape from dont breath movie?,decomposition_rag,not-helpful,Not getting the exact answer.
716633,who wins the cricket match in lagaan,decomposition_rag,helpful,"Gives the correct answer, with appropriate context"
225066,how does the world view christians,decomposition_rag,helpful,
225066,how does the world view christians,mmu_rag_router_llm,helpful,
251842,Do you think that the spinning top stops at the end of Inception?,decomposition_rag,helpful,"I kinda want to know what the model thinks, but I think this is a good answer anyway"
225066,what role did the anc play in helping to end apartheid,mmu_rag_router_llm,helpful,
225066,what role did the anc play in helping to end apartheid,decomposition_rag,helpful,
225066,what role did the anc play in helping to end apartheid,mmu_rag_vanilla,helpful,
251842,What are the real names of V from Cyberpunk 2077?,decomposition_rag,helpful,"Gives the correct answer, though it does add some unnecessary parts to the question(e.g., third paragraph)"
632223,is finland real? why might people think it isn't real,decomposition_rag,helpful,Sources are low quality but the answer is both correct and informative
225066,how can informal networks be utilized in the context of managerial interviewing?,decomposition_rag,helpful,Relevant: Sources seem relevant
712397,what movie ShahRukh khan was a spy in it?,decomposition_rag,helpful,
225066,"I remember this thrilling sports event that really stuck with me, though it's been years and details are a bit fuzzy. It was some kind of big showdown, almost a clash of titans feeling, involving two top-notch teams from a European country known for its chilly climate. The game happened sometime early in the year, possibly around the time when folks are still shaking off winter blues. I recall it took place in a charming coastal town, which wasn't usually known for hosting such major matches, adding an air of novelty. One thing that stands out is the green field in a stadium that seemed to echo the local passion on that grayish dayit might have been cloudy or almost drizzling, typical of that region. There were two sides, both wearing iconic colors that seemed to reflect their prestigious history. I remember the 'heroes' of the day being led by a skilled player from another continent, whose nimble moves and strategic play led to memorable goals. This event also boasted quite the media coverage, shared by a channel that often covers niche sports. The ref, as I recall, was no stranger to the spotlight, having overseen similar thrillers before. The memory is like a favorite movie scene you revisit in your thoughts. Can anyone fill in the gaps here or share similar experiences that ring a bell?",mmu_rag_router_llm,not-helpful,
662161,I'm thinking of going on holiday next easter with friends. I'm thinking of going to Scotland. We have a car and a couple of weeks. What would be a good itenerary?,mmu_rag_vanilla,helpful,simple and good
716633,why are women always so woke,decomposition_rag,helpful,Very comprehensive results and does a good job pushing back against the inherent misogyny of the question
225066,"I remember this thrilling sports event that really stuck with me, though it's been years and details are a bit fuzzy. It was some kind of big showdown, almost a clash of titans feeling, involving two top-notch teams from a European country known for its chilly climate. The game happened sometime early in the year, possibly around the time when folks are still shaking off winter blues. I recall it took place in a charming coastal town, which wasn't usually known for hosting such major matches, adding an air of novelty. One thing that stands out is the green field in a stadium that seemed to echo the local passion on that grayish dayit might have been cloudy or almost drizzling, typical of that region. There were two sides, both wearing iconic colors that seemed to reflect their prestigious history. I remember the 'heroes' of the day being led by a skilled player from another continent, whose nimble moves and strategic play led to memorable goals. This event also boasted quite the media coverage, shared by a channel that often covers niche sports. The ref, as I recall, was no stranger to the spotlight, having overseen similar thrillers before. The memory is like a favorite movie scene you revisit in your thoughts. Can anyone fill in the gaps here or share similar experiences that ring a bell?",decomposition_rag,not-helpful,"Relevance: Not Relevant
Length: Unnecessarily long to give nothing
Dimensions: Well defined breakdown of different dimensions."
455041,How to be a good academic in USA,decomposition_rag,not-helpful,"References are there at the end, but not in-text citations"
716633,is it true that ACAB?,decomposition_rag,helpful,"Quite a good breakdown, with a balanced presentation of this controversial topic"
